[游客] [5/8/2018, 6:30:01 AM] [::ffff:106.15.186.63] [:] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0]
[游客] [5/8/2018, 11:02:25 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:36 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:36 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:37 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:37 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:37 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:38 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹1] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:38 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹12] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:38 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹123] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:51 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doRegister] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:52 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/login] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:10:52 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-slide?t=1525792252317] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:06 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/register] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:09 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=c] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:09 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=ca] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:09 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=c] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:10 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:24 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:24 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:25 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:25 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:26 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:39 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:12:40 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/checkUserName?userName=蔡莹] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:15:26 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doRegister] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:15:27 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/login] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:15:27 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-fullpage?t=1525792527337] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[蔡莹] [5/8/2018, 11:16:41 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[蔡莹] [5/8/2018, 11:16:50 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[蔡莹] [5/8/2018, 11:16:50 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
