[11/29/2017, 12:56:56 AM] [::ffff:120.92.11.215] [北京市:北京市] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36Connect Us: webauth@cmcm.com]
[11/29/2017, 10:56:16 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=151056744767020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:28 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/add?nodeId=151056744767020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:28 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=151056744767020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:33 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:34 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:35 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=151056744767020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:56:40 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:57:22 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.cy.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:57:24 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 10:57:24 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=151192424285320052] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
[11/29/2017, 5:19:17 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150952395523020080] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36]
